term,estimate,std.error,statistic,p.value,significativo
(Intercept),9028.469575063587,10.540608264370109,856.54161018222,0,Sí
Gender1,-349.0870615049428,7.831297806421397,-44.57588896934852,0,Sí
Age1,-329.85336969433996,35.78768671151219,-9.216951415533453,3.0669466424749756e-20,Sí
Age2,-24.062842565689234,16.60355731121224,-1.449258259218933,0.1472660432359806,No
Age3,87.17830938581619,13.461029093052602,6.47634804019627,9.404786979693299e-11,Sí
Age4,108.40840239599154,16.044750181779833,6.756627630082918,1.4138022019832306e-11,Sí
Age5,-39.40801779413405,22.046902221175092,-1.7874628099127847,0.07386326816719074,No
Age6,266.20143333840605,23.651354394138533,11.255229992426067,2.1987868969529874e-29,Sí
City_Category1,-357.06278214112706,10.304433113769065,-34.651375597169924,8.202193759303096e-263,Sí
City_Category2,-111.72799257549988,9.148856415174308,-12.21223588012461,2.701904482358814e-34,Sí
