term,estimate,std.error,statistic,p.value,significativo,interpretacion
(Intercept),9109.492800500217,16.919264294885217,538.4095101141049,0,Sí,***
Gender1,17.734476457588755,4.560160128484549,3.8890030082084746,1.0066869039753749e-4,Sí,***
Age1,-171.21551022457436,22.65728250724495,-7.556754000389325,4.138867056925053e-14,Sí,***
Age2,-185.72716089932752,10.33517926668468,-17.970386009463493,3.486243352690359e-72,Sí,***
Age3,-103.56350675887916,8.15484544029731,-12.699628400940416,6.01263381451135e-37,Sí,***
Age4,23.733689259595423,9.403203151153459,2.524000479207353,0.011603056124502055,Sí,*
Age5,16.449236287768912,12.55972549886528,1.3096811940081838,0.19030425512942348,NO,ns
Age6,260.9785440683199,13.423933729239378,19.441286684831343,3.6867985101442416e-84,Sí,***
City_Category1,-236.1988197771975,6.28847004317758,-37.560617790244834,2.335273701486724e-308,Sí,***
City_Category2,-94.56184563394714,5.513890757357423,-17.14974956799229,6.56717702234656e-66,Sí,***
Product_Category_11,4550.893893568292,19.56316955220422,232.62559174903916,0,Sí,***
Product_Category_12,2200.171977643128,27.19967456173912,80.88964346426545,0,Sí,***
Product_Category_13,1054.268221750548,24.911313043029672,42.32086120589048,0,Sí,***
Product_Category_14,-6706.193369716277,17.86823127507249,-375.3137770872663,0,Sí,***
Product_Category_15,-2799.500770642687,16.943653496393967,-165.22415140503733,0,Sí,***
Product_Category_16,6787.0722733370585,31.129145907955575,218.02950499848146,0,Sí,***
Product_Category_17,7345.152980180129,66.91122988359088,109.77459229129241,0,Sí,***
Product_Category_18,-1559.9811949530967,17.23139785470545,-90.5313200999016,0,Sí,***
Product_Category_19,6486.447859143464,250.14776734907082,25.930464732439106,3.711118099650786e-148,Sí,***
Product_Category_110,10580.654976524374,58.23242301748099,181.6969727216766,0,Sí,***
Product_Category_111,-4349.5974359690545,19.76882114954588,-220.02310623711477,0,Sí,***
Product_Category_112,-7747.901642524795,17.626641304482966,-439.556323220481,0,Sí,***
Product_Category_113,-8340.948549967123,16.761801947854202,-497.61646008679315,0,Sí,***
Product_Category_114,4090.2303573954277,99.36742971191276,41.162686498522426,0,Sí,***
Product_Category_115,5725.106678681267,63.879290893739636,89.6238295475873,0,Sí,***
Product_Category_116,5721.328648561658,44.53065003977589,128.48069011908032,0,Sí,***
Product_Category_117,1022.2738823918299,92.67889305725713,11.030277214902297,2.7489529391903773e-28,Sí,***
Product_Category_118,-6126.963120686946,20.9371979147634,-292.6352965487638,0,Sí,***
Product_Category_119,-9140.10224970247,17.77846445556295,-514.1108936909619,0,Sí,***
